Study_Hours,Attendance_Percentage,Previous_Scores,Sleep_Hours,Participation_Level,Passed
4.8,98.5,56.2,8.1,1,1
10.7,82.0,74.1,8.1,4,1
11.6,98.6,71.3,7.1,2,1
2.9,77.3,56.1,8.9,3,0
8.1,72.5,61.9,5.5,5,1
4.4,80.2,52.7,5.1,2,0
3.1,77.6,59.4,8.1,5,0
19.8,64.2,78.8,8.2,1,1
7.8,85.6,70.3,5.5,4,1
16.6,68.6,71.4,6.1,4,1
6.6,84.8,65.4,5.1,3,1
14.3,86.0,75.5,6.2,4,1
,66.1,70.3,8.1,1,1
12.7,62.5,55.5,7.1,3,1
10.5,91.2,70.1,6.4,2,1
9.4,78.4,61.9,6.5,4,1
8.3,62.3,58.1,5.0,3,0
18.7,99.8,94.9,6.2,1,1
17.0,62.3,76.1,7.6,5,1
19.4,87.8,93.5,8.9,5,1
4.2,99.3,63.7,8.4,1,1
15.2,69.6,72.7,5.1,1,1
18.9,65.7,80.8,8.6,5,1
5.3,64.9,46.5,8.1,3,0
3.2,72.1,55.7,8.1,5,0
15.3,64.0,55.4,6.8,1,1
12.3,87.7,81.1,6.6,4,1
17.2,62.5,66.0,6.2,2,1
4.5,80.4,56.0,5.3,4,1
16.3,99.9,95.1,5.9,4,1
5.6,92.6,57.5,6.0,1,0
,84.6,65.4,6.9,5,1
5.0,72.3,57.7,8.0,3,0
16.7,85.0,84.4,6.9,4,1
14.0,81.1,80.0,5.2,5,1
11.4,77.0,66.8,8.8,3,1
8.5,65.2,58.1,8.8,4,1
17.8,95.5,83.7,8.1,3,1
9.1,78.0,65.7,9.0,5,1
16.7,67.8,64.8,7.2,2,1
9.9,74.7,62.7,8.9,5,1
8.8,76.6,47.8,5.3,1,0
,93.1,74.5,6.5,3,1
7.4,89.3,72.0,5.9,2,1
15.5,90.8,80.0,5.8,3,1
11.0,60.4,63.1,5.6,3,1
6.2,76.6,64.3,7.5,4,1
18.2,79.3,72.0,8.1,1,1
8.9,60.8,49.3,7.3,3,0
11.8,70.4,73.7,5.6,5,1
18.3,90.4,91.4,8.2,5,1
13.2,65.5,60.8,7.5,4,1
4.1,81.4,47.7,6.6,1,0
18.9,68.6,76.2,7.7,1,1
13.3,60.5,62.9,6.0,5,1
8.0,69.6,41.0,6.4,2,0
4.5,99.0,64.9,8.7,4,1
16.3,92.1,85.4,6.2,4,1
13.2,98.4,85.6,6.9,5,1
11.6,79.5,79.3,8.6,5,1
18.1,64.4,72.6,7.8,2,1
16.2,81.9,78.6,5.2,2,1
4.7,78.2,55.8,5.6,1,0
7.6,93.8,70.2,5.0,4,1
6.5,63.9,63.6,7.5,4,0
15.4,79.5,74.2,6.8,5,1
2.6,66.0,35.5,5.5,1,0
12.3,73.0,72.1,8.8,4,1
15.7,89.5,84.5,7.1,1,1
17.8,79.0,76.1,6.0,1,1
8.2,75.0,58.8,7.0,5,1
16.8,75.8,82.3,7.7,1,1
4.0,78.4,47.2,5.3,2,0
17.2,91.4,85.9,6.1,2,1
4.3,95.7,69.0,8.2,3,1
9.2,98.2,75.2,6.8,5,1
16.4,91.5,81.3,7.2,3,1
4.7,72.6,46.9,6.7,2,0
6.1,87.5,66.5,5.2,3,1
15.0,77.5,84.1,5.7,5,1
15.0,70.2,75.2,6.8,5,1
13.5,93.6,85.3,5.8,1,1
14.5,61.5,67.9,5.2,4,1
11.8,96.1,80.0,8.4,1,1
6.5,78.5,60.1,8.9,5,0
8.2,85.5,74.9,8.2,2,1
5.3,86.4,65.6,8.4,2,1
18.4,95.8,86.0,6.0,1,1
12.5,85.5,84.9,8.8,5,1
9.2,84.6,71.6,5.8,2,1
10.3,62.7,69.7,8.8,5,1
19.1,80.7,70.1,9.0,2,1
4.8,66.0,56.1,7.8,5,0
12.6,89.5,78.6,8.9,3,1
11.1,80.5,74.8,7.3,5,1
13.0,87.2,80.7,6.0,5,1
2.3,61.7,38.7,6.7,1,0
17.7,63.4,79.5,7.4,3,1
18.8,88.7,92.6,5.3,4,1
12.2,62.9,58.9,7.5,1,1
14.5,62.9,74.2,8.9,4,1
18.6,60.5,73.5,5.8,2,1
14.7,98.3,89.2,8.2,4,1
4.7,89.5,73.6,8.6,5,1
12.4,74.1,67.6,8.8,4,1
12.9,71.9,56.2,8.8,1,1
9.6,74.0,58.6,7.1,1,1
15.3,91.0,85.1,8.9,4,1
18.8,86.5,86.5,8.0,1,1
18.7,67.4,73.6,5.6,1,1
10.1,67.0,65.5,6.9,4,1
4.0,63.9,58.6,7.9,3,0
19.7,86.4,92.7,6.0,3,1
17.1,90.6,88.4,7.6,2,1
4.2,70.6,45.1,7.7,1,0
18.6,60.8,68.6,5.7,4,1
17.7,63.3,57.5,7.3,1,1
11.3,98.7,79.4,8.1,5,1
12.6,71.8,50.3,7.0,1,1
9.2,90.8,68.3,5.0,1,1
3.0,85.0,52.6,5.0,3,0
8.0,75.3,55.1,6.4,4,1
16.5,68.2,69.7,8.7,1,1
2.1,64.9,38.9,5.9,3,0
8.0,84.6,64.6,7.5,2,1
9.2,91.0,73.4,5.9,3,1
11.7,85.8,68.7,6.3,3,1
18.6,81.2,82.5,8.4,3,1
8.2,61.7,50.4,7.9,1,0
8.2,98.7,60.8,5.4,1,1
15.3,91.9,81.6,6.7,2,1
10.1,71.7,59.0,5.1,5,1
6.0,99.2,74.5,6.9,5,1
10.1,84.1,70.1,7.6,5,1
4.5,83.3,47.5,5.5,2,0
5.2,89.9,62.4,6.2,5,1
11.0,92.5,75.5,6.6,5,1
9.5,86.3,73.6,8.7,3,1
18.5,65.1,72.4,9.0,1,1
8.5,73.5,51.0,5.2,1,0
12.5,97.1,87.7,8.0,3,1
13.4,69.0,70.4,6.5,3,1
2.2,74.9,46.2,6.6,3,0
13.9,77.3,60.8,8.0,1,1
5.2,77.6,57.1,8.7,5,0
19.3,84.5,85.8,8.8,3,1
4.7,97.7,64.1,7.3,2,1
9.5,69.6,62.8,6.4,3,1
3.5,64.9,51.5,8.2,4,0
19.9,67.9,71.8,6.0,3,1
11.0,95.5,72.9,7.3,1,1
12.7,85.8,73.6,6.4,3,1
,71.4,63.5,7.6,4,0
15.5,92.6,81.6,6.0,2,1
5.8,94.5,65.7,5.8,5,1
18.2,93.9,89.8,8.7,3,1
5.7,96.8,67.7,5.4,4,1
5.4,70.1,44.0,7.0,4,0
2.7,90.2,56.5,5.9,2,0
10.5,78.4,60.7,5.2,1,1
12.2,93.7,77.0,5.1,3,1
3.2,89.1,54.6,5.7,4,0
16.0,91.1,76.0,8.5,2,1
10.2,86.2,77.8,6.1,5,1
11.4,67.1,70.0,8.8,4,1
9.9,81.8,66.9,7.3,2,1
9.2,99.4,61.1,6.7,1,1
,,77.3,7.3,1,1
4.8,61.7,39.5,7.1,4,0
5.3,66.6,48.5,8.0,4,0
17.5,65.3,78.0,6.1,3,1
19.0,89.0,89.9,6.4,2,1
8.7,92.7,74.1,8.6,4,1
6.9,68.5,60.6,8.8,3,1
13.6,80.2,76.1,8.6,3,1
9.4,93.6,63.4,6.7,4,1
2.5,89.3,49.7,8.1,1,0
4.8,81.7,54.3,6.9,2,0
14.9,83.6,74.8,7.0,2,1
13.9,80.3,66.8,5.8,1,1
2.5,71.9,43.8,7.4,4,0
6.0,82.6,69.3,5.7,2,1
6.2,87.6,62.2,6.3,4,1
,94.9,95.4,8.4,4,1
2.4,85.5,47.7,5.8,3,0
3.9,90.4,58.3,5.3,1,0
16.4,66.4,75.1,5.3,4,1
5.2,78.5,55.0,8.8,5,1
13.7,60.4,57.3,7.0,1,1
6.3,69.9,51.4,6.6,2,0
3.8,89.1,53.9,8.2,3,0
6.4,99.7,65.3,8.3,2,1
15.0,64.0,54.2,6.3,2,1
17.4,76.1,78.4,7.8,1,1
16.9,92.0,90.0,8.1,2,1
9.1,68.2,62.7,7.6,4,1
14.0,82.2,84.5,5.6,2,1
5.7,89.3,65.5,8.5,3,1
7.3,84.6,68.6,7.2,3,1
18.1,67.5,86.2,6.1,5,1
2.2,74.2,33.8,6.7,3,0
3.5,91.4,58.9,5.2,2,0
5.7,82.2,51.7,5.5,3,0
2.5,60.2,31.2,8.1,1,0
5.3,90.4,56.7,5.0,3,0
12.5,61.4,62.1,6.7,4,1
9.6,89.8,69.3,7.1,1,1
18.1,68.1,82.4,5.2,5,1
16.7,98.3,90.5,8.9,4,1
8.2,74.7,61.3,5.9,2,1
6.7,73.1,57.8,6.2,2,1
8.8,66.0,56.9,6.2,2,1
12.6,72.2,60.7,5.9,4,1
6.8,95.1,65.5,5.0,4,1
13.2,99.9,84.5,7.9,4,1
9.4,74.7,61.8,8.9,1,1
11.9,77.9,58.2,5.9,1,1
9.9,88.9,68.1,7.7,2,1
7.3,95.4,60.5,8.0,3,1
19.1,83.7,89.1,8.4,2,1
15.7,75.7,80.5,6.7,5,1
4.5,76.5,42.6,6.2,1,0
17.6,87.8,80.4,6.3,4,1
10.8,60.1,55.5,7.9,1,0
18.1,84.8,93.5,8.3,4,1
16.4,74.2,74.4,5.7,5,1
9.7,91.8,79.1,6.5,5,1
2.4,63.7,36.0,8.6,1,0
6.8,83.5,67.6,8.2,4,1
11.7,79.2,76.5,8.9,5,1
13.4,85.7,74.4,8.0,2,1
6.6,62.6,39.4,6.6,2,0
4.5,83.2,62.0,7.4,4,1
17.0,82.5,79.8,7.6,1,1
19.7,82.4,92.7,5.3,5,1
11.5,84.1,68.0,7.2,1,1
5.1,87.1,53.3,7.8,2,0
6.9,92.2,75.3,5.7,5,1
2.3,70.8,46.5,8.1,1,0
18.5,93.0,84.0,7.3,3,1
4.1,79.9,62.8,8.8,4,0
12.4,63.1,65.0,5.2,4,1
6.9,62.3,51.7,6.1,3,0
12.0,73.4,63.8,7.4,2,1
13.7,,82.8,6.2,5,1
16.9,88.3,92.9,7.9,4,1
5.7,91.5,68.4,8.0,3,1
2.2,80.7,55.8,5.4,3,0
4.5,77.6,52.7,7.1,2,0
18.2,65.9,77.8,7.0,2,1
17.7,73.1,69.9,6.5,1,1
12.8,77.4,75.1,8.7,4,1
12.8,63.5,58.6,8.3,1,1
14.0,68.8,58.1,7.8,3,1
5.2,83.9,54.3,7.9,5,0
18.5,89.4,88.3,6.8,5,1
9.5,99.9,75.1,8.7,2,1
8.9,97.3,73.1,7.8,5,1
11.3,85.7,72.6,7.9,5,1
2.8,76.8,57.9,8.4,5,0
5.0,85.4,55.9,6.1,3,1
15.3,91.4,92.9,8.2,5,1
3.5,64.7,55.2,5.8,5,0
12.9,76.4,74.0,6.4,5,1
6.4,93.6,65.4,6.3,1,1
9.0,75.4,64.8,8.9,3,1
7.2,82.9,58.6,8.4,2,1
8.4,83.5,64.9,7.8,1,1
14.9,67.4,76.6,7.9,4,1
7.3,74.5,53.2,7.2,3,0
12.2,73.4,67.8,8.8,3,1
10.6,61.0,60.4,7.0,4,1
13.9,61.0,70.6,6.5,4,1
18.9,93.3,90.1,5.7,4,1
15.2,70.9,66.8,8.1,2,1
5.9,80.7,62.9,7.9,5,0
2.6,71.9,53.0,6.5,3,0
6.7,97.6,66.3,5.1,5,1
12.7,70.4,65.5,8.4,5,1
2.9,77.2,49.8,5.0,4,0
10.9,94.9,71.6,7.8,2,1
12.7,93.7,65.5,8.9,1,1
8.0,67.4,61.2,6.8,2,1
15.9,92.1,87.2,5.9,5,1
,78.3,49.6,7.8,2,0
3.4,,62.5,8.3,4,0
15.1,65.3,68.5,7.2,1,1
10.9,63.2,58.8,8.9,4,1
14.4,89.1,76.2,5.2,1,1
9.8,79.9,69.4,7.0,5,1
6.4,77.5,60.8,7.9,1,1
16.7,89.2,79.2,8.5,1,1
16.4,90.6,72.9,5.7,1,1
14.5,66.4,56.8,8.2,2,1
6.9,84.4,67.4,7.2,2,1
12.6,65.4,64.0,6.6,5,1
8.5,90.1,67.4,5.5,1,1
3.6,86.3,56.8,8.5,3,1
18.5,98.3,94.1,5.6,5,1
4.5,62.8,41.0,6.2,1,0
19.1,62.3,79.3,6.2,1,1
10.0,71.3,52.5,8.5,2,1
